sequenceID	source.name	full_name	Species	Serotype
AF028705	ncbi-nuccore-aav	Adeno-associated virus 3B	DependoA	AAV3
AF043303	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
AF063497	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
AF085716	ncbi-nuccore-aav	adeno-associated virus 5	DependoB	AAV5
AF513851	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
AF513852	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
AX135805	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
AX282480	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
AX286292	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
AX753246	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
AX753249	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
AX753251	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
AX753252	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
AX753253	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
AY388617	ncbi-nuccore-aav	Bovine adeno-associated virus	DependoB	BAAV
AY695371	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
AY695372	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
AY695373	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
AY695374	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
AY695375	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
AY695376	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
BD094552	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
BD393207	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
BD405233	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
CQ972062	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV7
CQ972063	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
CS435814	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
DI006503	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
DI392350	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
DI393761	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
DI393762	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
DI393763	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
DI393764	ncbi-nuccore-aav	adeno-associated virus 5	DependoB	AAV5
EU285562	ncbi-nuccore-aav	Adeno-associated virus 13	DependoA	-
FB292908	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
FB292925	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
FB292926	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
FW506001	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
HW580763	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
HW608043	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
HW608044	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
HW608045	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
HW608046	ncbi-nuccore-aav	adeno-associated virus 5	DependoB	AAV5
HW917028	ncbi-nuccore-aav	adeno-associated virus 5	DependoB	AAV5
HW917029	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
J01901	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
JA062738	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA062739	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA062740	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA062741	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA062742	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA062743	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA062744	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA062745	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA062746	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
JA062747	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA062748	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
JA062749	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA062750	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA062751	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA062752	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA062753	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV7
JA062755	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
JA231989	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA231990	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA231991	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA231992	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA231993	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA231994	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA231995	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA231996	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA231997	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
JA231998	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA231999	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
JA232000	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA232001	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA232002	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA232003	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA232004	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV7
JA232006	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
JA232225	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA232226	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA232227	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA232228	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA232229	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA232230	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA232231	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA232232	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA232233	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
JA232234	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA232235	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
JA232236	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA232237	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA232238	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA232239	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA232240	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV7
JA232242	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
JA400275	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA400276	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA400277	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA400278	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA400279	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
JA400280	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA400281	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA400282	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA400283	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
JA400284	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA400285	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
JA400286	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA400287	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA400288	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
JA400289	ncbi-nuccore-aav	Adeno-associated virus	-	-
JA400290	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV7
JA400292	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
JA431384	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
JA793972	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
JB292180	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
JB292181	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
JB292182	ncbi-nuccore-aav	Adeno-associated virus 3A	DependoA	AAV3
JB292183	ncbi-nuccore-aav	Adeno-associated virus 3B	DependoA	AAV3
JB292184	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
JB292185	ncbi-nuccore-aav	adeno-associated virus 5	DependoB	AAV5
JB292186	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
JB292187	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
JB292188	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
JB292189	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
JB292190	ncbi-nuccore-aav	Adeno-associated virus 11	DependoA	AAV11
JB292191	ncbi-nuccore-aav	Adeno-associated virus 13	DependoA	-
JC278188	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
JC278189	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
JC278190	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
JC278191	ncbi-nuccore-aav	adeno-associated virus 5	DependoB	AAV5
JC285043	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
JC285044	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
JC285045	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
JC285046	ncbi-nuccore-aav	adeno-associated virus 5	DependoB	AAV5
JD011822	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
KP264981	ncbi-nuccore-aav	Bovine adeno-associated virus	DependoB	BAAV
KX583629	ncbi-nuccore-aav	Adeno-associated virus	-	-
KY271943	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
LF643462	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LG168865	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LG249844	ncbi-nuccore-aav	Adeno-associated virus	-	-
LG249845	ncbi-nuccore-aav	Adeno-associated virus	-	-
LG249846	ncbi-nuccore-aav	Adeno-associated virus	-	-
LG249847	ncbi-nuccore-aav	Adeno-associated virus	-	-
LG249848	ncbi-nuccore-aav	Adeno-associated virus	-	-
LG249849	ncbi-nuccore-aav	Adeno-associated virus	-	-
LG249850	ncbi-nuccore-aav	Adeno-associated virus	-	-
LG249851	ncbi-nuccore-aav	Adeno-associated virus	-	-
LG249852	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249853	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249854	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249855	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249856	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249862	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249863	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249864	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249865	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249866	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249867	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249868	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249869	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249870	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249871	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249874	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249875	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249876	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249877	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249878	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249879	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249880	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249881	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249882	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249883	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249884	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249885	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249886	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249887	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LG249888	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633630	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP633631	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP633632	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP633633	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP633634	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP633635	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP633636	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP633637	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP633638	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633639	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633640	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633641	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633642	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633645	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633648	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633649	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633650	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633651	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633652	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633653	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633654	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633655	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633656	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633657	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633660	ncbi-nuccore-aav	adeno-associated virus 2	-	-
