sequenceID	GenBank Refseq	species	serotype	full name
GU226971	NC_014468	Chiropteran1	BatAAV	Bat adeno-associated virus
JN420372	NC_038539	Carnivore1	PinAAV	California sea lion adeno-associated virus 1 isolate 1187
AF063497	NC_002077	Primate1	AAV1	Adeno-associated virus 1
AY631965		Primate1	AAV10	Adeno-associated virus 10
AY631966		Primate1	AAV11	Adeno-associated virus 11
DQ813647		Primate1	AAV12	Adeno-associated virus 12
AF043303	NC_001401	Primate1	AAV2	Adeno-associated virus 2
U48704	NC_001729	Primate1	AAV3	Adeno-associated virus 3
U89790	NC_001829	Primate1	AAV4	Adeno-associated virus 4
AF028704		Primate1	AAV6	Adeno-associated virus 6
AF513851	NC_006260	Primate1	AAV7	Adeno-associated virus 7
AF513852	NC_006261	Primate1	AAV8	Adeno-associated virus 8
AX753250		Primate1	AAV9	Adeno-associated virus 9
AF085716	NC_006152	Mammalian1	AAV5	Adeno-associated virus 5
FJ688147		Mammalian1	AAVpo1	Adeno-associated virus - Po1
AY388617	NC_005889	Mammalian1	BAAV	Bovine adeno-associated virus
DQ335246		Mammalian1	CAAV	Adeno-associated virus-Go.1
PP098970		Rodent1	McAAV1	Adeno-associated virus isolate MCAAV1
PP098971		Rodent1	McAAV2	Adeno-associated virus isolate MCAAV2
MF416383		Rodent2	MAAV	Murine adeno-associated virus 1 isolate MAAV1
MN242366		Rodent2	MgAAV1	Adeno-associated virus isolate MgAAV1
MN242367		Rodent2	MgAAV2	Adeno-associated virus isolate MgAAV2
